id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,brand,mpn,gtin,custom_label_0,is_bundle,custom_label_1,promotion_id,energy_efficiency_class,additional_image_link
1-1-137092,"VAX Air Stretch Pet Max","
Powerful and lightweight.
No loss of suction.*
A rated for energy, A rated for hardfloor pick-up, A rated for carpet pick-up and A rated for emissions.
Extra-long 13m cord and 3.6m hose.
TurboTool &ndash; suitable for stairs, upholstery and homes with pets.

&nbsp;
The Vax Air Stretch Pet Max U85-AS-Pme is a powerful and lightweight upright vacuum cleaner with an extra-long 13 M cord and 3.6 M reach hose. It&rsquo;s also suitable for homes with pets.
The Vax Air Stretch Pet is a powerful multi-cyclonic upright vacuum cleaner with no loss of suction*. It&rsquo;s rated A rated for energy, A rated for hardfloor pick-up, A rated for carpet pick-up and A rated for emissions. This upright vacuum cleaner also weighs only 4.9 Kg in use making it easy to lift up and down stairs.
The Air Stretch Pet Max has a long extension hose for easy stair cleaning and a long cord for less frequent plugging and unplugging. This extensive 17 M reach is appropriate for completing a total home clean.
The 3-in-1 tool features a crevice, upholstery and dusting tool for an effortless clean around the home. It also has an on board TurboTool that&rsquo;s ideal for stairs, upholstery and homes with pets.
No loss of suction*- Per IEC60312-1 1st Edition, 5.9. Machine must be maintained as per instructed in the user guide. Tested to max fill line.
&nbsp;
&nbsp;
Multi-cyclonic technology
The Vax Air Stretch Pet U85-AS-Pe has powerful multi-cyclonic technology with no loss of suction* across both carpets and hard floors.
&nbsp;
Lightweight
This upright vacuum cleaner also weighs only 4.9Kg in use making it easy to lift up and down stairs.
&nbsp;
Long stretch hose and cord
The extra-long 3.6m hose is appropriate for stair cleaning and getting to hard to reach areas. The extra-long 13 M cord also means less frequent unplugging.
&nbsp;
Ideal for pet owners
The Vax Air Stretch Pet is suitable for homes with pets. It has an on board TurboTool helps to remove embedded dirt and pet hair from stairs, upholstery and other fabrics around your home.
&nbsp;",,Cordless,https://www-local2.vax.co.uk/air-stretch-pet-max-upright-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_662a5fc273011_Air_Stretch_Pet_Max_direct_72DPI_880x880-1_bpk3rc.jpg,new,"OUT OF STOCK","119.99 GBP",,Vax,1-1-137092,5012512158204,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62cd8c5f21447_14_AIR_STRETCH_PET_PLUS_1407_316_JAY_xg2ykd.jpg
1-P-142612,"VAX ONEPWR Blade 5 Pet Cordless Vacuum Cleaner ","Our most innovative cordless vacuum cleaner features new VersaClean Technology and CleanControl real-time display, for high performance cleaning throughout the whole home.
","Home &amp; Garden &gt; Household Appliances","Vacuum Cleaner",https://www-local2.vax.co.uk/blade-5-pet-plus-toolkit,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_5_pet_01_direct_72dpi_880x880_2_3.jpg,new,"OUT OF STOCK","379.99 GBP","219.99 GBP",Vax,1-P-142612,5012512172866,"Vacuum Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_5_pet.jpg
1-P-142768,"VAX ONEPWR Edge Dual Pet & Car Cordless Upright Vacuum Cleaner ","With up to 100 minutes runtime*, full-size performance and capacity, and new VersaClean Technology – get the whole home big clean without the cord.
","Home &amp; Garden &gt; Household Appliances","Vacuum Cleaner",https://www-local2.vax.co.uk/vax-onepwr-edge-dual-pet-car-cordless-upright-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/e/d/edge_dual_pet_car_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","399.99 GBP","399.99 GBP",Vax,1-P-142768,5012512174464,"Vacuum Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_63e0f07a216f2_VAX_Edge_Pet_Car_-_In_Use_Hero_3Qtr_4Ah_zfctmn.jpg
1-1-141031,"VAX Rapid Power Plus Carpet Cleaner","Extra large tank for a longer clean. Deep clean your carpets, upholstery and car interiors. Leaves your carpets dry in less than 1 hour*.
","Home &amp; Garden &gt; Household Appliances","Carpet Cleaner",https://www-local2.vax.co.uk/rapid-power-plus-carpet-cleaner,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_plus_01_direct_72dpi_880x880_6.jpg,new,"OUT OF STOCK","219.99 GBP","139.99 GBP",Vax,1-1-141031,5012512165158,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_plus_product_page_banner_2000x1333.jpg
1-1-134101-00,"VAX Steam Fresh Combi Classic Steam Cleaner","Enjoy versatile steam cleaning around the home with the Vax Steam Fresh Combi Classic multifunction steam mop and one-click detachable handheld. The steam mop cleans your sealed hard floors effortlessly leaving them smelling fresh, while the detachable handheld easily takes care of surfaces such as tiles, showers and baths.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/steam-fresh-combi-classic-10-in-1-steam-cleaner,https://www-local2.vax.co.uk/media/catalog/product/s/t/steam_fresh_combi_classic_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","89.99 GBP","89.99 GBP",Vax,1-1-134101-00,5012512147284,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_62c6b3883abf5_VAX_Steam_Fresh_Combi_Classic_-_Bathroom_Wide_-_2000px_xxanfd.jpg
1-1-142257,"VAX Platinum SmartWash Carpet Cleaner","Vax's best ever carpet washer kills over 99% of bacteria* and with next generation motion sense technology, it’s effortlessly simple to use. Free Steamer worth £49.99 when you buy from Vax direct.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/vax-platinum-smartwash-carpet-cleaner,https://www-local2.vax.co.uk/media/catalog/product/p/l/platinum_smartwash_01_direct_72dpi_880x880_1_5.jpg,new,"OUT OF STOCK","299.99 GBP","199.99 GBP",Vax,1-1-142257,5012512169286,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_smartwash_1.jpg
1-1-139162,"VAX Platinum Power Max Carpet Cleaner","The Platinum Power Max is Vax's best ever carpet washer. Removes 93% of bacteria, leaving your carpets looking like new, with a Free Steam Cleaner when you buy from Vax direct. 
","Home &amp; Garden &gt; Household Appliances","Carpet Cleaner",https://www-local2.vax.co.uk/vax-platinum-power-max-carpet-cleaner,https://www-local2.vax.co.uk/media/catalog/product/p/o/powermax_01_direct_72dpi_880x880_save_90.jpg,new,"OUT OF STOCK","269.99 GBP","179.99 GBP",Vax,1-1-139162,5012512164243,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_powermax.jpg
1-P-142588,"VAX ONEPWR Blade 4 Dual Pet & Car Cordless Vacuum Cleaner","With up to 90 minutes runtime, our best for a total clean anywhere in the home or car, it’s proven to clean carpets better than the UK’s top 3 best-selling cordless vacuum cleaners* and includes a motorised pet tool & flexible powered hose.
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/onepwr-blade-4-pet-dual-battery-and-car-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_4_dual_pet_car_01_direct_72dpi_880x880-1.jpg,new,"OUT OF STOCK","369.99 GBP","209.99 GBP",Vax,1-P-142588,5012512172545,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_4_dual_pet_car.jpg
1-P-142587,"VAX ONEPWR Blade 4 Pet & Car Cordless Vacuum Cleaner","Our best for a total clean anywhere in the home or car, it’s proven to clean carpets better than the UK’s top 3 best-selling cordless vacuum cleaners*. Giving you the cleaning performance of the UK's best-selling corded uprights** in the freedom of a cordless vacuum. 
+ Free Toolkit Worth Over £50",,"Vacuum Cleaner",https://www-local2.vax.co.uk/onepwr-blade-4-pet-and-car-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_4_pet_car_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","299.99 GBP","179.99 GBP",Vax,1-P-142587,5012512172576,"Vacuum Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_4_pet_car.jpg
1-P-142317,"VAX ONEPWR Blade 4 Cordless Vacuum Cleaner","Proven to clean carpets better than the UK's Top 3 best-selling cordless vacuums.*
","Home &amp; Garden &gt; Household Appliances",Cordless,https://www-local2.vax.co.uk/onepwr-blade-4-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/b/l/blade_4_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","159.99 GBP",,Vax,1-P-142317,5012512169910,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_blade_4_base.jpg
